channelKey,displayName,groups,sourceFile,sourceRole,originalName,host,kind,durable,continuousUpdate,updateMode,signedExpireAt,youtubeVideoId,url
discoveryturbo,Discovery turbo,英國頻道,sources/live-base.txt,durable-base-hls,Discovery turbo,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1387/389fe89dbcee7b89818bed00871e4a1e/index.m3u8
discoveryturbo,Discovery turbo,英國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Discovery turbo,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx4/1387/389fe89dbcee7b89818bed00871e4a1e/index.m3u8
disney,Disney,少兒頻道 | 美國頻道,sources/live-base.txt,durable-base-hls,Disney,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/5/7fb23a926a7bb904a8ecba098ea4a671/index.m3u8
disney,Disney,少兒頻道 | 美國頻道,sources/live-base.txt,durable-base-hls,Disney,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/1208/16993da96fc4908413fe2b40249d74fa/index.m3u8
disney,Disney,少兒頻道 | 美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Disney,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/5/7fb23a926a7bb904a8ecba098ea4a671/index.m3u8
disney,Disney,少兒頻道 | 美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Disney,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/1208/16993da96fc4908413fe2b40249d74fa/index.m3u8
disneychanel,Disney Chanel,越南頻道,sources/live-base.txt,durable-base-hls,Disney Chanel,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/2262/0dc12591e54ccad5d9299513f71fb120/index.m3u8
disneychanel,Disney Chanel,越南頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Disney Chanel,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/2262/0dc12591e54ccad5d9299513f71fb120/index.m3u8
disneyjunio,Disney Junio,YouTube兒童動畫,sources/youtube-live-channels.csv,durable-youtube-page,Disney Junio,www.youtube.com,youtube-page,true,true,resolve-with-yt-dlp,,k7iNXiw1zL4,https://www.youtube.com/watch?v=k7iNXiw1zL4
disneyxd,Disney XD,美國頻道,sources/live-base.txt,durable-base-hls,Disney XD,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/1209/a39f91177e299519749f441fb4d68ac8/index.m3u8
disneyxd,Disney XD,美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Disney XD,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx5/1209/a39f91177e299519749f441fb4d68ac8/index.m3u8
diynetwork,Diy network,美國頻道,sources/live-base.txt,durable-base-hls,Diy network,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/1528/42fac1674f168637bf89a643480462d8/index.m3u8
diynetwork,Diy network,美國頻道,sources/live-cleaned-backup.txt,durable-cleaned-backup-hls,Diy network,z3.ubtvfans.com,direct-hls,true,true,retest-existing-hls,,,https://z3.ubtvfans.com/live/rx2/1528/42fac1674f168637bf89a643480462d8/index.m3u8
dwnews,DW News,YouTube國際新聞,sources/youtube-live-channels.csv,durable-youtube-page,DW News,www.youtube.com,youtube-page,true,true,resolve-with-yt-dlp,,LuKwFajn37U,https://www.youtube.com/watch?v=LuKwFajn37U
